Название товара;Ссылка на товар;Цена
Турка МАТРЕНА МА-24;/catalog/kofevarki_kofemolki/turka_matrena_ma-24/;							795  
Вспениватель молока SA-6328BK;/catalog/kofevarki_kofemolki/vspenivatel_moloka_sa-6328bk/;							281  руб.
Кофеварка HOMESTAR HS-2020 черный;/catalog/kofevarki_kofemolki/kofevarka_homestar_hs-2020_chernyy/;							865  руб.
Кофеварка МАТРЕНА МА-017 черный;/catalog/kofevarki_kofemolki/kofevarka_matrena_ma-017_chernyy/;							1 260  руб.
Кофемолка SA-6161S 200 Вт 80 г;/catalog/kofevarki_kofemolki/kofemolka_sa-6161s_200_vt_80_g/;							1 740  руб.
Кофемолка SA-6163BK 200Вт 50г черный;/catalog/kofevarki_kofemolki/kofemolka_sa-6163bk_200vt_50g_chernyy/;							1 090  руб.
Кофемолка SA-6171BK 200Вт 50г черный;/catalog/kofevarki_kofemolki/kofemolka_sa-6171bk_200vt_50g_chernyy/;							1 480  руб.
Кофемолка механическая, керамические жернова;/catalog/kofevarki_kofemolki/kofemolka_mehanicheskaya_keramicheskie_zhernova/;							740  руб.
Кофемолка электрическая жернов аккум Li-Poli USB;/catalog/kofevarki_kofemolki/kofemolka_elektricheskaya_zhernov_akkum_li-poli_usb/;							1 460  руб.
Турка BEON BN-353 электрическая;/catalog/kofevarki_kofemolki/turka_beon_bn-353_elektricheskaya/;							1 060  руб.
Турка DELTA DL-8162 электрическая;/catalog/kofevarki_kofemolki/turka_delta_dl-8162_elektricheskaya/;							1 120  руб.
Турка МАТРЕНА МА-24;/catalog/kofevarki_kofemolki/turka_matrena_ma-24/;							795  руб.
